# SGH Voice compact JMdict common-word candidates
# format-version=1
# source=JMdict_b
# source-created=2026-07-26
# source-url=https://www.edrdg.org/pub/Nihongo/JMdict_b.gz
# priority-tags=gai1,ichi1,news1,spec1
# format=reading<TAB>score<TAB>candidate
あやうく	5086	危うく
あやしい	3067	怪しい
あやしむ	3053	怪しむ
あやつる	3065	操る
あやぶむ	2085	危ぶむ
あやまち	5086	過ち
あやまって	2093	誤って
あやまり	5093	誤り
あやまる	3068	謝る
あやまる	3059	誤る
あゆ	4063	鮎
あゆみ	2089	歩み
あゆみより	2087	歩み寄り
あゆみよる	3072	歩み寄る
あゆむ	3054	歩む
あらあらしい	3057	荒々しい
あらい	3064	荒い
あらい	3058	粗い
あらいあげる	2085	洗い上げる
あらいもの	3055	洗い物
あらいもん	3055	洗い物
あらう	5077	洗う
あらかじめ	3000	予め
あらかると	2000	アラカルト
あらき	2092	荒木
あらし	5088	嵐
あらし	3068	暴風雨
あらし	2083	暴風
あらす	5078	荒らす
あらすじ	3054	粗筋
あらそい	5097	争い
あらそう	5089	争う
あらた	5099	新た
あらた	2082	新田
あらたまる	3057	改まる
あらためて	3075	改めて
あらためる	5089	改める
あらっぽい	3066	荒っぽい
あらて	2077	新手
あらなみ	2079	荒波
あらの	3075	荒野
あらぶ	2000	アラブ
あらゆる	3000	凡ゆる
あららげる	2077	荒らげる
あらわす	3064	現す
あらわす	3064	表す
あらわす	3064	現わす
あらわす	3064	表わす
あらわす	3000	著す
あらわす	3000	著わす
あらわれ	5092	現れ
あらわれ	5092	表れ
あらわれ	5092	現われ
あらわれる	5076	現れる
あらわれる	5076	表れる
あらわれる	5076	現われる
あらーと	4000	アラート
あり	3062	蟻
ありあ	2000	アリア
ありえない	4000	あり得ない
ありがたい	3060	有難い
ありがたい	3060	有り難い
ありがち	4000	有りがち
ありがとう	3000	有難う
ありがとうございました	4000	有難うございました
ありがとうございます	4000	有難うございます
ありがとうございます	4000	有り難うございます
ありさま	5077	有様
ありさま	5077	有り様
ありしひ	2095	在りし日
ありそう	4000	有りそう
ありとあらゆる	4000	有りとあらゆる
ありのまま	5077	有りのまま
