# SGH Voice compact Zhuyin candidates
# Source: Unicode Unihan 17.0.0 kHanyuPinlu + kTraditionalVariant
# Download: https://www.unicode.org/Public/UCD/latest/ucd/Unihan.zip
# License: Unicode-3.0 (see UNICODE_LICENSE.txt)
# Format: reading<TAB>candidate:corpus_count|...
ㄊㄧˊ	題:1649|提:1557|蹄:15|啼:12
ㄊㄧˋ	替:352|惕:16|涕:14
ㄊㄧ˙	屜:17
ㄊㄧㄝ	貼:124
ㄊㄧㄝˇ	鐵:734
ㄊㄧㄠ	挑:155
ㄊㄧㄠˊ	條:1643
ㄊㄧㄠˋ	跳:470|糶:18|眺:11
ㄊㄧㄢ	天:5162|添:103
ㄊㄧㄢˇ	舔:16
ㄊㄧㄢˊ	田:336|甜:75|填:53
ㄊㄧㄥ	聽:2028|廳:59
ㄊㄧㄥˇ	挺:239|艇:22
ㄊㄧㄥˊ	停:510|庭:137|亭:53|蜓:21
ㄊㄨ	突:474|凸:31|禿:13
ㄊㄨˇ	土:858|吐:73
ㄊㄨˊ	圖:491|途:178|徒:161|屠:15
ㄊㄨˋ	兔:100
ㄊㄨ˙	塗:116
ㄊㄨㄛ	脫:239|拖:173|托:101
ㄊㄨㄛˇ	妥:53|橢:11
ㄊㄨㄛˊ	馱:27
ㄊㄨㄛˋ	唾:14
ㄊㄨㄛ˙	駝:116
ㄊㄨㄟ	推:531
ㄊㄨㄟˇ	腿:263
ㄊㄨㄟˋ	退:254
ㄊㄨㄢˊ	團:887
ㄊㄨㄣ	吞:30
ㄊㄨㄥ	通:1126
ㄊㄨㄥˇ	統:959|桶:72|筒:45
ㄊㄨㄥˊ	衕:4634|銅:129|童:55
ㄊㄨㄥˋ	痛:356
ㄋˊ	嗯:48
ㄋㄚˇ	哪:1138
ㄋㄚˊ	拿:1125
ㄋㄚˋ	那:7249|納:21
ㄋㄜ˙	吶:2307|呢:2307
ㄋㄞˇ	奶:234|乃:27
ㄋㄞˋ	耐:221|奈:22
ㄋㄟˋ	內:1434
ㄋㄠˇ	腦:437|惱:27
ㄋㄠˋ	鬧:186
ㄋㄢˊ	難:795|南:749|男:249|喃:26
ㄋㄣˋ	嫩:26
ㄋㄥˊ	能:5594
ㄋㄧˇ	你:10944|擬:22
ㄋㄧˊ	泥:308
ㄋㄧㄝ	捏:74
ㄋㄧㄠˇ	鳥:190
ㄋㄧㄠˋ	尿:16
ㄋㄧㄡˇ	扭:81|紐:26
ㄋㄧㄡˊ	牛:270
ㄋㄧㄢˇ	捻:11|碾:11|攆:10
ㄋㄧㄢˊ	年:5553|黏:31
ㄋㄧㄢˋ	念:447|廿:10
ㄋㄧㄣˊ	您:1593
ㄋㄧㄤˋ	釀:10
ㄋㄧㄤ˙	娘:362
ㄋㄧㄥˊ	凝:138|擰:41|寧:13|嚀:11
ㄋㄨˇ	努:251
ㄋㄨˊ	奴:73
ㄋㄨˋ	怒:167
ㄋㄨㄢˇ	暖:159
ㄋㄨㄥˊ	農:1281|濃:116
ㄋㄨㄥˋ	弄:319
ㄋㄩˇ	女:1129
ㄌㄚ	拉:657|垃:38
ㄌㄚˇ	喇:25
ㄌㄚˋ	蠟:40|辣:25
ㄌㄚ˙	啦:967
ㄌㄜˋ	樂:283
ㄌㄜ˙	瞭:30101
ㄌㄞˊ	來:14549
ㄌㄞˋ	賴:28
ㄌㄟ	勒:13
ㄌㄟˇ	壘:28|磊:9
ㄌㄟˊ	雷:91
ㄌㄟˋ	類:792|淚:233|纍:111
ㄌㄠ	撈:68
ㄌㄠˇ	老:3598
ㄌㄠˊ	勞:856|牢:62
ㄌㄡˇ	摟:25
ㄌㄡˊ	樓:179
ㄌㄡˋ	漏:68|陋:9
ㄌㄡ˙	嘍:46
ㄌㄢˇ	覽:48|懶:31
ㄌㄢˊ	藍:126|籃:74|攔:58|欄:44
ㄌㄢˋ	爛:126|濫:18
ㄌㄤˇ	朗:56
ㄌㄤˊ	狼:88
ㄌㄤˋ	浪:259
ㄌㄥˇ	冷:453
ㄌㄥˋ	愣:58
ㄌㄧˇ	裏:8067|理:2282|禮:114|鯉:12
ㄌㄧˊ	離:790|璃:213|釐:69|黎:30|籬:15|梨:14|鸝:14|犁:10
ㄌㄧˋ	力:2488|利:1593|立:1565|曆:819|歷:819|例:369|麗:215|厲:146|粒:103|勵:93|隸:73|瀝:28|荔:28|礫:10
ㄌㄧ˙	裡:706|哩:225|李:36|狸:18
ㄌㄧㄚˇ	倆:196
ㄌㄧㄝˋ	烈:428|列:270|獵:72|裂:67|劣:26
ㄌㄧㄝ˙	咧:53
ㄌㄧㄠ	撩:15
ㄌㄧㄠˇ	瞭:326
ㄌㄧㄠˊ	療:85|僚:56|遼:32|聊:29
ㄌㄧㄠˋ	料:980|撂:12
ㄌㄧㄡ	溜:48
ㄌㄧㄡˇ	柳:49
ㄌㄧㄡˊ	流:1162|留:484|榴:62|硫:35
ㄌㄧㄡˋ	六:1035
ㄌㄧㄢˇ	臉:930
ㄌㄧㄢˊ	連:1073|聯:578|憐:111|簾:53|鐮:14|廉:13
ㄌㄧㄢˋ	煉:256|練:245|戀:11|鏈:9
ㄌㄧㄣˊ	林:341|臨:220|淋:40|鄰:35|磷:27
ㄌㄧㄤˇ	兩:3229
ㄌㄧㄤˊ	糧:280|良:198|涼:129|梁:95
ㄌㄧㄤˋ	量:1265|亮:415|輛:178|諒:46|晾:12
ㄌㄧㄥˇ	領:1527|嶺:70
ㄌㄧㄥˊ	零:211|靈:170|鈴:85|齡:43|陵:31|玲:10
ㄌㄧㄥˋ	另:476|令:453
ㄌㄧㄥ˙	伶:15
ㄌㄨˇ	虜:31
ㄌㄨˊ	爐:177|蘆:46
ㄌㄨˋ	路:1987|露:241|陸:202|錄:143|碌:17|鹿:10
ㄌㄨㄛˊ	鑼:28|蘿:25|邏:24|騾:21|籮:9
ㄌㄨㄛˋ	落:516|駱:116|絡:27
ㄌㄨㄢˇ	卵:87
ㄌㄨㄢˊ	巒:13
ㄌㄨㄢˋ	亂:357
ㄌㄨㄣ	掄:11
ㄌㄨㄣˊ	輪:222|綸:48
ㄌㄨㄣˋ	論:1472
ㄌㄨㄥˇ	攏:62|壟:28
